#;Destino;Departamento;Tipo de plan;Actividad principal;Clima;Ideal para;Nivel económico;
1;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
2;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
3;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
4;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
5;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
6;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
7;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
8;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
9;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
10;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
11;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
12;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
13;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
14;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
15;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
16;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
17;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
18;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
19;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
20;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
21;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
22;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
23;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
24;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
25;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
26;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
27;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
28;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
29;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
30;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
31;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
32;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
33;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
34;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
35;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
36;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
37;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
38;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
39;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
40;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
41;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
42;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
43;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
44;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
45;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
46;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
47;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
48;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
49;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
50;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
51;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
52;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
53;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
54;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
55;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
56;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
57;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
58;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
59;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
60;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
61;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
62;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
63;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
64;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
65;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
66;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
67;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
68;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
69;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
70;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
71;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
72;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
73;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
74;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
75;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
76;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
77;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
